resume_skills,jd_skills,projects,internships,certifications,cgpa,ats_score
rag prompt engineering langchain llm vector database python,python llm rag langchain transformers vector database prompt engineering,2,2,5,7.5,85.54
azure kubernetes aws linux terraform gcp,aws azure gcp cloud security terraform linux,5,2,1,9.0,72.0
statistics data analysis pandas,python machine learning statistics pandas numpy tensorflow data analysis,4,0,5,7.7,51.49
react css mongodb express nodejs oops javascript html,react nodejs mongodb javascript html css express,1,1,0,8.0,84.0
react kubernetes nodejs javascript pandas,react nodejs mongodb javascript html css express,3,0,4,6.9,47.59
github actions kubernetes docker machine learning jenkins,docker kubernetes linux jenkins terraform github actions,5,2,2,6.6,72.3
github actions llm transformers vector database data visualization,python llm rag langchain transformers vector database prompt engineering,1,3,5,7.4,54.34
data analysis numpy statistics machine learning python pandas,python machine learning statistics pandas numpy tensorflow data analysis,4,3,0,7.8,85.19
aws linux terraform,aws azure gcp cloud security terraform linux,4,2,5,9.7,63.85
mlops cloud security nlp kubernetes,python tensorflow pytorch deep learning nlp computer vision mlops,2,0,1,8.1,30.98
oops system design kubernetes,java dsa oops dbms system design sql,1,3,1,7.8,41.4
deep learning linux nlp python,python tensorflow pytorch deep learning nlp computer vision mlops,4,2,2,8.7,53.49
aws statistics nlp data visualization python,python sql power bi excel tableau statistics data visualization,5,0,4,7.6,51.94
cloud security azure,aws azure gcp cloud security terraform linux,5,1,2,6.7,44.35
computer vision numpy pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,3,1,8.9,40.38
power bi sql kubernetes tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,2,2,5,8.0,96.5
react css mongodb nodejs javascript html,react nodejs mongodb javascript html css express,3,2,3,9.6,85.59
azure docker cloud security linux aws terraform dbms,aws azure gcp cloud security terraform linux,4,1,1,9.6,79.8
linux cloud security aws azure,aws azure gcp cloud security terraform linux,1,3,4,9.4,71.7
cloud security aws terraform azure,aws azure gcp cloud security terraform linux,1,0,0,8.0,56.0
rag css kubernetes prompt engineering llm langchain vector database,python llm rag langchain transformers vector database prompt engineering,3,0,1,6.6,64.37
cloud security terraform gcp mlops deep learning,aws azure gcp cloud security terraform linux,3,3,4,7.4,62.2
dsa transformers tableau llm,python llm rag langchain transformers vector database prompt engineering,2,2,5,6.6,42.23
dsa terraform machine learning numpy,python machine learning statistics pandas numpy tensorflow data analysis,5,0,5,8.5,43.18
rag express computer vision vector database python,python llm rag langchain transformers vector database prompt engineering,4,2,5,7.3,57.29
prompt engineering llm dsa transformers vector database python,python llm rag langchain transformers vector database prompt engineering,1,3,2,7.0,71.07
css prompt engineering llm langchain transformers,python llm rag langchain transformers vector database prompt engineering,1,2,3,9.6,60.16
system design sql dsa oops java transformers dbms,java dsa oops dbms system design sql,3,0,2,8.3,88.15
power bi sql linux tableau statistics,python sql power bi excel tableau statistics data visualization,5,2,0,8.3,63.01
data analysis numpy statistics machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,0,0,6.7,84.35
mongodb express css,react nodejs mongodb javascript html css express,2,2,5,7.4,53.34
oops deep learning nlp vector database pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,1,3,5,8.3,54.79
react mongodb express deep learning javascript html,react nodejs mongodb javascript html css express,5,0,3,9.6,72.87
mlops deep learning computer vision nlp pytorch python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,4,3,5,9.5,100.0
data visualization excel gcp,python sql power bi excel tableau statistics data visualization,4,2,5,7.9,46.88
rag cloud security prompt engineering langchain llm transformers vector database python,python llm rag langchain transformers vector database prompt engineering,4,3,5,7.6,100.0
system design sql oops dsa java dbms,java dsa oops dbms system design sql,2,3,0,8.3,92.15
data visualization power bi tableau excel,python sql power bi excel tableau statistics data visualization,2,2,1,7.5,47.39
javascript nodejs css html,react nodejs mongodb javascript html css express,2,3,0,8.9,60.31
react css mongodb nodejs javascript,react nodejs mongodb javascript html css express,2,2,1,9.7,69.92
rag python llm vector database,python llm rag langchain transformers vector database prompt engineering,2,0,1,6.7,51.71
mlops computer vision tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,1,0,4,9.1,44.69
statistics tableau aws numpy,python machine learning statistics pandas numpy tensorflow data analysis,3,3,0,8.8,40.83
mlops python oops deep learning,python tensorflow pytorch deep learning nlp computer vision mlops,2,3,3,9.7,54.49
system design sql cloud security dsa java oops,java dsa oops dbms system design sql,1,2,5,9.5,82.75
sql tableau linux statistics python excel,python sql power bi excel tableau statistics data visualization,2,2,2,9.4,71.27
mlops pytorch data visualization tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,4,3,4,8.3,59.29
java system design sql dbms,java dsa oops dbms system design sql,2,3,5,8.8,74.9
mlops deep learning computer vision,python tensorflow pytorch deep learning nlp computer vision mlops,2,1,5,9.0,51.14
html mlops deep learning computer vision nlp pytorch dbms python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,2,2,5,7.9,96.45
power bi sql data analysis tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,1,0,4,6.9,86.45
cloud security aws gcp,aws azure gcp cloud security terraform linux,4,1,0,7.2,52.1
rag azure aws linux terraform gcp,aws azure gcp cloud security terraform linux,5,1,1,9.1,81.55
sql kubernetes linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,5,0,0,9.3,64.65
data analysis nodejs numpy statistics deep learning machine learning pandas,python machine learning statistics pandas numpy tensorflow data analysis,2,0,5,8.3,69.22
aws statistics machine learning pandas tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,2,0,2,9.3,54.51
rag terraform mlops deep learning computer vision python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,1,2,3,8.0,70.07
react express nodejs tensorflow javascript html,react nodejs mongodb javascript html css express,1,0,2,7.5,62.32
kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,1,1,1,7.0,72.5
linux aws gcp azure,aws azure gcp cloud security terraform linux,3,3,3,7.0,73.0
kubernetes prompt engineering llm langchain transformers python,python llm rag langchain transformers vector database prompt engineering,2,3,2,8.0,73.57
kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,4,2,3,7.0,84.5
deep learning computer vision nlp pytorch python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,5,2,1,9.8,86.69
docker jenkins kubernetes,docker kubernetes linux jenkins terraform github actions,1,2,0,9.1,50.05
azure aws linux gcp terraform dbms,aws azure gcp cloud security terraform linux,4,2,3,8.8,85.4
aws linux gcp,aws azure gcp cloud security terraform linux,5,3,3,7.5,64.75
data analysis numpy statistics javascript machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,0,0,9.2,81.6
system design sql kubernetes oops java dsa dbms,java dsa oops dbms system design sql,5,0,4,7.7,94.85
rag prompt engineering langchain gcp transformers python,python llm rag langchain transformers vector database prompt engineering,3,0,3,7.0,67.57
github actions kubernetes terraform java jenkins,docker kubernetes linux jenkins terraform github actions,3,1,2,8.9,66.45
sql dbms,java dsa oops dbms system design sql,1,0,5,6.7,37.85
azure cloud security aws linux terraform gcp prompt engineering,aws azure gcp cloud security terraform linux,4,0,3,9.3,92.15
aws pytorch terraform azure,aws azure gcp cloud security terraform linux,3,0,5,9.7,55.85
mongodb javascript react html,react nodejs mongodb javascript html css express,2,0,3,9.1,55.91
system design sql oops java dsa dbms,java dsa oops dbms system design sql,3,2,3,6.9,94.95
css mongodb html nodejs pytorch,react nodejs mongodb javascript html css express,4,2,3,7.0,64.86
power bi sql kubernetes tableau statistics deep learning excel,python sql power bi excel tableau statistics data visualization,2,1,4,9.1,71.12
oops java sql,java dsa oops dbms system design sql,1,2,0,7.3,49.15
sql data analysis numpy statistics pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,3,5,9.2,91.39
react mongodb express nodejs html,react nodejs mongodb javascript html css express,2,0,2,8.3,64.72
react css llm statistics html,react nodejs mongodb javascript html css express,2,3,4,8.5,55.39
github actions kubernetes linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,4,3,3,9.8,76.4
mlops deep learning nlp tensorflow vector database pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,2,3,7.1,73.62
react express nodejs aws transformers,react nodejs mongodb javascript html css express,5,2,1,8.5,53.89
python github actions statistics kubernetes,docker kubernetes linux jenkins terraform github actions,4,0,0,8.0,37.0
rag prompt engineering aws langchain transformers,python llm rag langchain transformers vector database prompt engineering,5,2,3,9.7,68.21
dsa deep learning nodejs tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,4,1,3,7.7,40.78
deep learning jenkins nlp pytorch tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,1,1,5,8.1,59.41
dsa java system design sql,java dsa oops dbms system design sql,2,0,1,9.4,60.2
power bi sql tableau statistics jenkins data visualization python excel,python sql power bi excel tableau statistics data visualization,3,1,4,9.3,94.65
prompt engineering numpy transformers vector database python,python llm rag langchain transformers vector database prompt engineering,2,3,5,7.3,67.01
power bi sql statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,4,3,5,7.0,92.29
rag prompt engineering langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,3,1,5,7.8,84.69
linux gcp azure,aws azure gcp cloud security terraform linux,5,3,3,9.7,65.85
cloud security linux aws terraform oops,aws azure gcp cloud security terraform linux,2,3,4,9.2,73.6
rag python html vector database,python llm rag langchain transformers vector database prompt engineering,4,0,4,9.5,50.89
react css mongodb express nodejs javascript html,react nodejs mongodb javascript html css express,3,0,4,8.8,91.4
system design sql java jenkins dbms,java dsa oops dbms system design sql,2,2,4,9.0,70.5
react express nodejs data visualization html,react nodejs mongodb javascript html css express,1,2,5,8.9,62.81
statistics python,python sql power bi excel tableau statistics data visualization,4,3,5,8.2,50.03
system design sql oops java dsa,java dsa oops dbms system design sql,1,2,2,9.0,78.0
python machine learning tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,3,2,7.0,53.64
machine learning prompt engineering nlp pandas,python machine learning statistics pandas numpy tensorflow data analysis,3,1,4,7.0,39.93
prompt engineering langchain llm vector database python,python llm rag langchain transformers vector database prompt engineering,1,0,1,8.7,61.42
system design sql oops computer vision jenkins,java dsa oops dbms system design sql,1,3,1,9.7,54.85
azure linux aws terraform gcp,aws azure gcp cloud security terraform linux,4,2,1,9.7,82.85
azure cloud security aws terraform gcp excel pandas,aws azure gcp cloud security terraform linux,5,2,4,8.3,88.65
react aws gcp azure,aws azure gcp cloud security terraform linux,2,1,4,9.5,42.75
system design sql dsa java dbms,java dsa oops dbms system design sql,2,1,5,8.4,81.2
transformers computer vision llm langchain,python llm rag langchain transformers vector database prompt engineering,4,2,1,8.4,51.84
numpy statistics machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,5,0,2,8.3,81.44
system design sql express data analysis oops java,java dsa oops dbms system design sql,3,1,2,9.7,66.85
power bi sql tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,5,0,0,6.9,88.45
github actions react docker linux terraform pytorch,docker kubernetes linux jenkins terraform github actions,1,2,2,7.5,64.75
github actions kubernetes docker terraform jenkins,docker kubernetes linux jenkins terraform github actions,1,1,5,8.6,79.3
express nodejs gcp azure,aws azure gcp cloud security terraform linux,2,3,5,6.9,48.95
cloud security pytorch terraform gcp,aws azure gcp cloud security terraform linux,2,0,1,9.2,47.6
mongodb nodejs mlops javascript python,react nodejs mongodb javascript html css express,3,3,4,6.7,56.49
docker github actions jenkins terraform,docker kubernetes linux jenkins terraform github actions,5,2,4,9.1,76.55
linux aws terraform azure,aws azure gcp cloud security terraform linux,3,0,1,8.3,61.65
docker jenkins terraform kubernetes,docker kubernetes linux jenkins terraform github actions,3,1,3,7.9,54.95
kubernetes docker numpy terraform oops,docker kubernetes linux jenkins terraform github actions,1,1,2,7.3,49.15
azure cloud security aws linux terraform gcp data analysis,aws azure gcp cloud security terraform linux,5,0,1,6.9,89.95
react mongodb express cloud security aws,react nodejs mongodb javascript html css express,3,3,5,8.8,59.04
azure linux aws gcp terraform,aws azure gcp cloud security terraform linux,2,2,0,7.6,76.3
mongodb express data analysis python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,3,1,8.6,52.94
transformers prompt engineering llm vector database,python llm rag langchain transformers vector database prompt engineering,1,0,1,7.0,49.86
react nodejs html,react nodejs mongodb javascript html css express,4,2,5,6.8,57.04
cloud security mlops vector database python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,4,1,4,9.4,53.84
docker terraform,docker kubernetes linux jenkins terraform github actions,2,3,5,7.5,49.25
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,4,3,4,7.1,100.0
azure aws linux terraform gcp,aws azure gcp cloud security terraform linux,3,0,1,9.1,74.55
sql data analysis numpy statistics mlops machine learning python,python machine learning statistics pandas numpy tensorflow data analysis,4,1,5,7.7,75.92
mongodb react system design nodejs,react nodejs mongodb javascript html css express,3,3,2,8.4,54.34
github actions css langchain transformers python,python llm rag langchain transformers vector database prompt engineering,3,2,0,7.8,48.04
github actions css mongodb docker nodejs html,react nodejs mongodb javascript html css express,3,2,0,8.4,59.06
nodejs javascript,react nodejs mongodb javascript html css express,1,1,2,8.7,33.78
express mlops computer vision nlp pytorch python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,2,3,3,7.9,85.74
react jenkins css,react nodejs mongodb javascript html css express,4,1,5,9.5,44.68
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,4,3,0,9.2,96.6
docker linux jenkins terraform,docker kubernetes linux jenkins terraform github actions,1,3,0,9.2,65.6
data visualization sql,python sql power bi excel tableau statistics data visualization,2,2,1,6.8,36.33
statistics machine learning tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,4,2,5,7.3,57.29
react css azure deep learning javascript html,react nodejs mongodb javascript html css express,4,2,2,7.9,63.81
kubernetes docker linux terraform gcp llm jenkins,docker kubernetes linux jenkins terraform github actions,3,1,2,8.6,78.8
azure cloud security linux aws gcp terraform tableau,aws azure gcp cloud security terraform linux,3,0,0,9.6,85.8
mlops excel tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,3,3,3,9.3,45.58
github actions azure docker linux terraform mlops jenkins,docker kubernetes linux jenkins terraform github actions,2,1,0,8.6,73.8
cloud security gcp azure,aws azure gcp cloud security terraform linux,3,1,4,9.8,57.4
azure cloud security linux aws terraform gcp,aws azure gcp cloud security terraform linux,4,1,4,7.1,95.55
sql azure tableau statistics data visualization python html,python sql power bi excel tableau statistics data visualization,1,2,5,8.3,73.22
react sql css mongodb express nodejs javascript html,react nodejs mongodb javascript html css express,3,0,0,7.0,73.79
css linux terraform gcp vector database,aws azure gcp cloud security terraform linux,5,1,3,7.9,58.95
tableau statistics computer vision data visualization python excel,python sql power bi excel tableau statistics data visualization,3,2,3,7.1,73.62
azure cloud security aws linux terraform gcp,aws azure gcp cloud security terraform linux,2,0,2,6.9,85.45
react css azure nodejs javascript html,react nodejs mongodb javascript html css express,1,1,1,8.6,64.37
sql numpy dsa java dbms,java dsa oops dbms system design sql,2,2,1,7.2,65.1
html tableau statistics data visualization python excel pandas,python sql power bi excel tableau statistics data visualization,5,0,4,8.9,74.02
css mongodb express nodejs javascript,react nodejs mongodb javascript html css express,1,1,1,8.4,64.27
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,1,1,0,8.9,84.45
system design sql aws oops java dbms,java dsa oops dbms system design sql,5,0,3,7.8,80.9
statistics tableau excel nlp,python sql power bi excel tableau statistics data visualization,5,1,3,6.7,52.99
react azure cloud security linux aws terraform gcp transformers,aws azure gcp cloud security terraform linux,3,2,1,8.8,92.9
mlops deep learning nlp tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,2,1,7.1,81.34
sql kubernetes dsa java dbms,java dsa oops dbms system design sql,5,2,0,8.5,70.25
github actions linux jenkins terraform,docker kubernetes linux jenkins terraform github actions,5,2,4,7.5,75.75
github actions mlops machine learning nlp python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,0,4,9.0,57.36
docker html cloud security azure,aws azure gcp cloud security terraform linux,4,1,3,7.0,44.0
rag python terraform tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,3,0,8.0,36.43
statistics numpy llm vector database,python llm rag langchain transformers vector database prompt engineering,4,1,0,6.8,35.83
azure cloud security linux aws gcp data analysis tableau,aws azure gcp cloud security terraform linux,4,3,1,7.5,84.75
azure cloud security linux aws terraform gcp transformers,aws azure gcp cloud security terraform linux,5,0,0,9.0,89.5
prompt engineering gcp mlops deep learning nlp pytorch python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,1,2,5,8.9,84.24
mlops python nlp tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,3,2,0,8.8,59.26
react mlops java computer vision nlp pytorch python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,5,1,0,7.1,80.84
github actions power bi sql tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,3,2,2,7.4,93.7
oops sql,java dsa oops dbms system design sql,1,1,2,7.4,36.7
react power bi sql tableau data visualization python excel,python sql power bi excel tableau statistics data visualization,4,3,2,7.5,88.04
power bi sql tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,1,3,3,9.6,95.3
oops dsa system design,java dsa oops dbms system design sql,4,0,3,8.4,54.2
system design sql azure oops dbms,java dsa oops dbms system design sql,3,0,2,9.3,63.65
java cloud security dbms,java dsa oops dbms system design sql,3,2,0,9.5,41.75
express nodejs css javascript,react nodejs mongodb javascript html css express,3,1,5,8.9,63.81
azure cloud security linux terraform transformers,aws azure gcp cloud security terraform linux,5,0,4,6.5,69.25
rag prompt engineering langchain llm vector database python,python llm rag langchain transformers vector database prompt engineering,2,0,2,8.3,75.44
statistics python data analysis llm,python llm rag langchain transformers vector database prompt engineering,3,0,1,8.8,33.33
dsa system design sql,java dsa oops dbms system design sql,5,2,4,7.9,63.45
java sql,java dsa oops dbms system design sql,5,2,1,6.9,45.95
nodejs react html,react nodejs mongodb javascript html css express,4,3,3,8.3,57.79
linux aws gcp data analysis,aws azure gcp cloud security terraform linux,1,2,3,8.6,54.3
html terraform mlops deep learning computer vision nlp python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,4,1,3,7.7,83.64
cloud security terraform azure,aws azure gcp cloud security terraform linux,3,3,2,7.0,59.0
github actions kubernetes docker linux tableau terraform,docker kubernetes linux jenkins terraform github actions,3,0,3,6.6,76.3
cloud security aws linux terraform gcp,aws azure gcp cloud security terraform linux,1,3,1,6.7,78.35
cloud security aws tensorflow,aws azure gcp cloud security terraform linux,2,3,5,6.6,48.8
rag system design sql prompt engineering vector database,python llm rag langchain transformers vector database prompt engineering,1,0,3,6.6,41.94
css mongodb express nodejs html,react nodejs mongodb javascript html css express,3,0,0,9.0,64.07
data analysis pandas,python machine learning statistics pandas numpy tensorflow data analysis,2,2,3,8.8,40.33
system design sql oops java dbms,java dsa oops dbms system design sql,5,0,4,8.4,82.7
oops dsa sql,java dsa oops dbms system design sql,1,1,3,6.9,50.45
cloud security aws linux gcp vector database,aws azure gcp cloud security terraform linux,4,3,0,6.8,70.4
system design sql dsa oops java dbms,java dsa oops dbms system design sql,1,1,5,8.3,91.65
system design langchain java transformers dbms,java dsa oops dbms system design sql,4,3,3,7.9,62.95
mlops deep learning computer vision nlp pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,1,1,5,6.7,69.42
cloud security aws linux terraform gcp mlops vector database,aws azure gcp cloud security terraform linux,3,2,3,7.1,82.55
mlops deep learning nlp vector database pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,0,1,8.9,54.81
system design numpy statistics pandas python pytorch,python machine learning statistics pandas numpy tensorflow data analysis,3,0,1,7.1,53.91
power bi sql statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,5,3,2,8.2,90.39
react css mongodb express dsa javascript html,react nodejs mongodb javascript html css express,3,2,2,8.7,83.64
data analysis numpy statistics machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,3,0,7.3,89.65
rag prompt engineering langchain llm transformers,python llm rag langchain transformers vector database prompt engineering,3,1,5,6.8,73.47
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,2,2,3,7.1,93.05
deep learning computer vision tensorflow pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,1,3,2,8.5,61.11
azure cloud security aws linux gcp terraform statistics,aws azure gcp cloud security terraform linux,2,3,5,6.7,98.85
github actions linux prompt engineering,docker kubernetes linux jenkins terraform github actions,2,3,0,8.1,42.05
rag prompt engineering langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,5,2,4,7.2,89.89
python data analysis numpy pandas,python machine learning statistics pandas numpy tensorflow data analysis,2,2,5,6.9,53.09
react css mongodb nodejs html,react nodejs mongodb javascript html css express,3,2,5,6.9,76.52
terraform pandas numpy tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,5,2,2,8.8,55.54
data analysis statistics machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,2,2,5,6.8,85.19
react css express nodejs html,react nodejs mongodb javascript html css express,1,1,4,7.1,68.12
mlops deep learning computer vision nlp python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,5,0,5,9.0,86.29
dbms github actions terraform,docker kubernetes linux jenkins terraform github actions,4,1,0,8.4,40.2
rag langchain llm vector database,python llm rag langchain transformers vector database prompt engineering,2,1,1,8.5,55.61
github actions kubernetes docker linux terraform java jenkins tensorflow,docker kubernetes linux jenkins terraform github actions,3,2,0,9.5,91.75
react css express nodejs html,react nodejs mongodb javascript html css express,5,2,4,7.3,79.22
github actions kubernetes docker cloud security linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,2,0,1,9.6,85.3
rag css prompt engineering llm terraform vector database python,python llm rag langchain transformers vector database prompt engineering,5,0,2,8.3,70.72
mlops deep learning computer vision tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,1,5,9.5,83.54
power bi sql tableau aws numpy statistics python excel,python sql power bi excel tableau statistics data visualization,2,2,5,7.9,85.74
power bi sql tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,4,1,5,9.2,98.1
system design sql,java dsa oops dbms system design sql,1,0,2,8.4,34.2
data analysis numpy statistics machine learning python,python machine learning statistics pandas numpy tensorflow data analysis,5,3,3,6.7,69.71
transformers express vector database,python llm rag langchain transformers vector database prompt engineering,4,0,0,8.4,33.63
azure cloud security linux aws terraform gcp,aws azure gcp cloud security terraform linux,3,1,0,8.0,88.0
sql excel power bi tableau,python sql power bi excel tableau statistics data visualization,2,1,1,9.4,56.06
mlops deep learning computer vision nlp python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,5,3,1,8.0,88.79
react mongodb express docker nodejs javascript,react nodejs mongodb javascript html css express,4,0,2,8.5,68.82
power bi sql tableau statistics nlp data visualization python excel,python sql power bi excel tableau statistics data visualization,2,3,2,9.0,95.5
azure cloud security aws gcp terraform,aws azure gcp cloud security terraform linux,2,0,5,6.9,77.45
tensorflow pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,1,0,6.6,33.73
python sql,python sql power bi excel tableau statistics data visualization,5,1,3,8.3,43.08
sql tableau llm python excel,python sql power bi excel tableau statistics data visualization,5,3,3,7.7,70.21
system design sql oops java dsa dbms,java dsa oops dbms system design sql,2,2,5,8.4,96.7
azure kubernetes cloud security linux aws terraform gcp,aws azure gcp cloud security terraform linux,4,2,4,7.6,98.8
excel power bi tableau,python sql power bi excel tableau statistics data visualization,5,2,1,9.1,54.19
sql oops dsa java dbms,java dsa oops dbms system design sql,1,3,1,9.4,79.7
aws linux gcp azure,aws azure gcp cloud security terraform linux,5,0,1,6.7,64.85
express react prompt engineering css,react nodejs mongodb javascript html css express,3,2,3,7.6,52.44
transformers cloud security gcp,aws azure gcp cloud security terraform linux,1,2,3,9.1,42.05
rag prompt engineering langchain llm vector database python tensorflow,python llm rag langchain transformers vector database prompt engineering,2,3,5,8.3,88.94
github actions mlops deep learning computer vision java nlp pytorch python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,4,2,5,8.9,100.0
linux aws terraform gcp dsa,aws azure gcp cloud security terraform linux,3,1,2,6.8,65.4
data analysis numpy statistics machine learning pandas tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,5,1,4,9.2,87.89
sql azure mongodb express nodejs javascript html,react nodejs mongodb javascript html css express,4,1,4,7.0,74.07
java dbms,java dsa oops dbms system design sql,3,0,1,9.0,37.0
rag prompt engineering llm transformers python,python llm rag langchain transformers vector database prompt engineering,4,1,0,6.5,67.82
numpy machine learning python excel tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,2,2,5,7.4,53.34
aws mlops deep learning computer vision nlp tensorflow data visualization python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,5,2,0,7.6,94.8
github actions kubernetes docker linux terraform llm jenkins,docker kubernetes linux jenkins terraform github actions,4,1,4,9.7,96.85
css data analysis numpy statistics machine learning pandas tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,2,0,7.1,65.12
cloud security terraform,aws azure gcp cloud security terraform linux,4,2,1,8.1,44.55
system design sql langchain oops java dsa dbms,java dsa oops dbms system design sql,1,2,5,8.9,94.95
power bi sql tableau gcp statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,4,1,3,9.7,95.35
azure cloud security aws linux gcp terraform,aws azure gcp cloud security terraform linux,3,2,4,7.7,96.85
sql azure cloud security linux aws gcp terraform javascript,aws azure gcp cloud security terraform linux,5,0,4,9.4,95.7
azure cloud security linux gcp terraform,aws azure gcp cloud security terraform linux,3,2,2,7.8,81.4
llm mlops deep learning computer vision nlp python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,2,4,8.9,84.74
mlops nlp numpy pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,4,2,0,7.5,49.89
data visualization power bi tableau docker,python sql power bi excel tableau statistics data visualization,3,3,0,7.4,50.84
data analysis tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,4,3,2,6.5,44.68
react css mongodb express nodejs pytorch javascript html,react nodejs mongodb javascript html css express,5,0,5,9.1,97.05
github actions css kubernetes linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,5,0,3,8.1,81.05
rag prompt engineering llm langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,2,0,1,8.4,84.7
oops dsa dbms,java dsa oops dbms system design sql,4,2,0,9.8,56.4
system design sql oops dsa java,java dsa oops dbms system design sql,2,2,3,7.0,80.5
data analysis nodejs numpy pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,5,2,4,6.8,78.97
python vector database,python llm rag langchain transformers vector database prompt engineering,3,2,4,7.6,43.23
aws langchain gcp,aws azure gcp cloud security terraform linux,2,3,1,9.5,44.25
system design sql dsa java dbms vector database,java dsa oops dbms system design sql,1,2,3,7.4,78.7
data analysis aws numpy terraform statistics python,python machine learning statistics pandas numpy tensorflow data analysis,3,2,3,7.0,62.86
system design dsa java oops dbms,java dsa oops dbms system design sql,2,0,2,6.6,72.8
oops dsa langchain,java dsa oops dbms system design sql,4,0,0,9.1,37.55
power bi sql tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,2,0,3,7.4,87.2
rag prompt engineering llm langchain oops transformers vector database python tensorflow,python llm rag langchain transformers vector database prompt engineering,3,1,2,6.6,90.3
oops deep learning computer vision linux,python tensorflow pytorch deep learning nlp computer vision mlops,1,3,4,9.4,43.13
data analysis numpy langchain statistics machine learning computer vision tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,3,2,1,9.4,93.2
