skills,projects,internships,certifications,cgpa,target_role
sql excel python power bi data visualization,3,2,5,8.9,Data Analyst
tableau data visualization sql statistics excel numpy,3,2,0,7.0,Data Analyst
hibernate mysql java spring boot,2,1,0,7.6,Java Developer
oops dsa sql dbms java system design,5,3,4,9.2,Software Engineer
docker github actions linux jenkins,5,0,1,8.6,DevOps Engineer
oops dsa java sql,1,0,3,9.0,Software Engineer
postgresql fastapi flask django,3,3,0,8.7,Python Developer
deep learning pytorch nlp tensorflow computer vision,4,1,5,8.7,ML Engineer
github actions terraform linux docker,1,2,0,9.7,DevOps Engineer
numpy statistics python machine learning rest api,4,0,1,7.6,Data Scientist
data analysis statistics numpy tensorflow,3,1,2,9.0,Data Scientist
rest api java mysql hibernate spring boot nodejs,3,0,1,9.5,Java Developer
oops dbms dsa java,2,0,1,8.4,Software Engineer
system design dbms java sql dsa oops,5,2,4,6.7,Software Engineer
gcp cloud security terraform linux,1,2,5,9.2,Cloud Engineer
computer vision python nlp deep learning machine learning,3,1,4,9.7,ML Engineer
express react nodejs css javascript html,1,3,5,8.8,Full Stack Developer
css react html javascript,4,2,5,7.8,Full Stack Developer
html react javascript css,4,0,1,6.6,Full Stack Developer
python transformers prompt engineering llm langchain,5,0,4,6.7,AI Engineer
tableau sql excel statistics python data visualization,5,2,5,8.9,Data Analyst
spring boot mysql rest api hibernate java,1,0,0,9.3,Java Developer
statistics excel sql tableau python power bi data visualization,5,0,2,9.1,Data Analyst
langchain transformers python llm vector database prompt engineering rag nlp,2,2,4,8.8,AI Engineer
excel statistics data visualization sql tableau python,2,2,2,7.6,Data Analyst
terraform azure aws cloud security gcp linux,5,2,5,6.9,Cloud Engineer
django fastapi flask postgresql,1,0,3,8.5,Python Developer
sql dbms system design oops dsa,1,1,3,9.3,Software Engineer
python fastapi postgresql flask django,1,3,4,9.0,Python Developer
terraform cloud security aws azure,2,3,4,8.4,Cloud Engineer
java hibernate mysql rest api,1,2,4,7.1,Java Developer
java rest api mysql spring boot,1,0,3,8.6,Java Developer
jenkins linux kubernetes docker github actions system design,2,2,0,8.1,DevOps Engineer
gcp azure linux terraform aws cloud security,3,2,2,6.9,Cloud Engineer
mlops nlp python pytorch tensorflow computer vision deep learning linux,2,2,1,8.2,ML Engineer
pandas tensorflow machine learning data analysis statistics langchain,2,3,4,9.1,Data Scientist
rest api hibernate mysql java,5,3,5,7.8,Java Developer
statistics sql python excel tableau power bi,1,3,5,8.1,Data Analyst
fastapi django postgresql flask python,2,3,2,7.2,Python Developer
fastapi postgresql flask django,3,0,0,8.3,Python Developer
linux gcp azure terraform cloud security aws,4,2,5,9.4,Cloud Engineer
java dsa dbms oops,4,1,4,8.0,Software Engineer
tableau power bi data visualization sql python statistics,1,1,5,8.3,Data Analyst
nodejs html express mongodb css,4,0,1,8.2,Full Stack Developer
spring boot hibernate rest api java mysql statistics,2,1,3,6.8,Java Developer
fastapi python flask django postgresql,3,1,0,7.1,Python Developer
docker jenkins terraform linux github actions,2,3,3,7.1,DevOps Engineer
sql dbms oops java system design,2,3,3,8.7,Software Engineer
nlp mlops computer vision tensorflow pytorch deep learning python,5,3,2,8.1,ML Engineer
java dbms sql system design,4,0,5,8.2,Software Engineer
spring boot java rest api mysql hibernate,2,0,3,6.8,Java Developer
spring boot mysql java hibernate,3,3,0,9.0,Java Developer
pytorch python mlops deep learning computer vision nlp tensorflow,1,0,0,9.3,ML Engineer
python prompt engineering rag vector database langchain transformers,5,1,5,7.4,AI Engineer
rag llm vector database prompt engineering langchain tableau,2,0,2,6.8,AI Engineer
machine learning statistics pandas tensorflow data analysis python,5,3,0,8.9,Data Scientist
llm langchain transformers vector database python,5,0,5,9.5,AI Engineer
linux azure terraform gcp,2,2,5,8.0,Cloud Engineer
linux terraform kubernetes docker github actions,3,2,0,8.6,DevOps Engineer
rest api spring boot hibernate mysql java,5,1,4,7.1,Java Developer
html css javascript mongodb nodejs,2,1,2,8.6,Full Stack Developer
javascript mongodb react html css,1,2,5,7.6,Full Stack Developer
terraform kubernetes jenkins docker github actions,2,3,1,7.9,DevOps Engineer
dbms java sql dsa oops system design,5,2,3,8.4,Software Engineer
fastapi flask postgresql django python,4,3,5,8.3,Python Developer
rest api java spring boot hibernate,4,0,2,8.8,Java Developer
statistics sql python power bi excel data visualization langchain,4,2,2,7.0,Data Analyst
css express react html,5,2,5,9.0,Full Stack Developer
mlops deep learning tensorflow nlp computer vision python,1,2,1,6.6,ML Engineer
rest api hibernate java spring boot mysql mlops,4,1,4,8.8,Java Developer
hibernate spring boot java mysql,5,1,2,6.9,Java Developer
dsa sql oops java system design dbms,3,3,1,7.9,Software Engineer
dbms oops dsa sql system design,3,2,2,7.1,Software Engineer
rest api mysql spring boot java hibernate,1,3,5,7.3,Java Developer
django fastapi python flask,5,1,3,9.4,Python Developer
github actions terraform docker jenkins kubernetes,3,3,5,6.6,DevOps Engineer
javascript css express nodejs,1,1,2,8.3,Full Stack Developer
system design java sql oops,2,3,4,9.1,Software Engineer
terraform linux github actions kubernetes,3,1,0,7.2,DevOps Engineer
dbms system design sql java oops dsa,1,3,4,8.1,Software Engineer
prompt engineering transformers langchain vector database rag python,4,2,5,9.2,AI Engineer
llm vector database langchain python rag transformers prompt engineering,4,3,1,8.0,AI Engineer
pytorch python deep learning mlops nlp,2,0,0,6.8,ML Engineer
pandas statistics numpy python tensorflow machine learning data analysis,4,3,4,8.2,Data Scientist
statistics sql python tableau,1,3,5,7.9,Data Analyst
jenkins kubernetes github actions linux terraform spring boot,4,3,0,8.1,DevOps Engineer
python mlops tensorflow deep learning pytorch computer vision nlp,2,2,3,9.0,ML Engineer
tensorflow python machine learning data analysis numpy,1,1,4,8.9,Data Scientist
tableau python data visualization power bi,1,1,1,6.8,Data Analyst
rest api mysql hibernate spring boot java,5,3,1,7.9,Java Developer
kubernetes github actions jenkins linux,4,1,0,6.7,DevOps Engineer
express css nodejs javascript mongodb html react,3,3,2,9.5,Full Stack Developer
django python fastapi flask,1,0,3,9.7,Python Developer
python deep learning mlops pytorch,3,0,1,8.4,ML Engineer
sql tableau power bi data visualization statistics python,1,1,1,7.7,Data Analyst
postgresql python django flask,3,1,5,6.6,Python Developer
dsa dbms system design sql java oops,4,2,3,8.8,Software Engineer
nodejs css html react express,5,1,1,8.4,Full Stack Developer
aws azure terraform gcp linux cloud security,3,3,4,9.7,Cloud Engineer
numpy data analysis statistics tensorflow,1,3,1,8.0,Data Scientist
data visualization statistics python sql,3,0,3,8.2,Data Analyst
linux cloud security aws gcp,4,0,1,6.6,Cloud Engineer
python llm transformers rag vector database,4,1,4,9.4,AI Engineer
cloud security gcp linux azure terraform,2,1,2,7.8,Cloud Engineer
express react css javascript mongodb mlops,3,1,4,6.5,Full Stack Developer
dsa dbms system design sql java,2,1,3,9.5,Software Engineer
css react html nodejs,4,3,0,9.5,Full Stack Developer
langchain vector database transformers python llm gcp,1,1,4,6.6,AI Engineer
power bi statistics sql tableau,5,1,1,7.8,Data Analyst
dsa sql dbms system design java oops nlp,5,2,0,7.5,Software Engineer
deep learning computer vision pytorch python mlops cloud security,5,2,0,8.5,ML Engineer
rag prompt engineering vector database langchain llm python,1,3,3,8.0,AI Engineer
prompt engineering python llm vector database transformers rag langchain,4,3,1,8.9,AI Engineer
aws gcp terraform linux azure,3,3,5,7.9,Cloud Engineer
jenkins linux terraform docker github actions excel,1,1,2,9.7,DevOps Engineer
python langchain rag vector database llm,5,3,3,8.0,AI Engineer
computer vision nlp tensorflow mlops deep learning python,4,3,1,6.8,ML Engineer
hibernate mysql spring boot rest api,2,0,5,9.6,Java Developer
dsa dbms sql oops,5,3,0,9.3,Software Engineer
kubernetes jenkins linux github actions,2,0,3,6.9,DevOps Engineer
prompt engineering langchain rag llm vector database transformers,1,3,4,8.2,AI Engineer
data visualization power bi sql excel tableau python,2,2,1,7.3,Data Analyst
pytorch python computer vision deep learning nlp excel,1,1,0,8.4,ML Engineer
azure cloud security terraform gcp aws,1,0,0,7.5,Cloud Engineer
dsa system design oops sql java css,3,0,3,9.2,Software Engineer
langchain vector database rag prompt engineering python,5,3,4,9.0,AI Engineer
cloud security linux azure gcp terraform aws,2,3,5,9.7,Cloud Engineer
power bi sql python statistics data visualization excel tableau,5,1,2,8.6,Data Analyst
dsa system design sql java dbms oops,5,3,3,8.4,Software Engineer
mongodb nodejs html css,2,2,0,9.7,Full Stack Developer
cloud security linux gcp terraform prompt engineering,4,0,1,9.5,Cloud Engineer
llm vector database prompt engineering python transformers langchain rag jenkins,5,1,1,8.4,AI Engineer
pytorch python mlops deep learning tensorflow nlp computer vision rest api,4,3,2,6.6,ML Engineer
python fastapi postgresql django,3,3,5,8.2,Python Developer
python fastapi flask postgresql django,1,0,3,7.9,Python Developer
power bi statistics sql excel,2,2,4,8.3,Data Analyst
python numpy statistics pandas machine learning data analysis tensorflow react,2,0,1,8.9,Data Scientist
python statistics pandas tensorflow machine learning data analysis,4,3,0,8.5,Data Scientist
hibernate java spring boot mysql,4,1,3,8.0,Java Developer
mysql rest api hibernate spring boot java,4,3,4,9.5,Java Developer
kubernetes docker linux terraform jenkins github actions,1,1,3,8.4,DevOps Engineer
transformers llm vector database prompt engineering python langchain,1,0,5,8.8,AI Engineer
kubernetes linux docker github actions,4,1,2,7.9,DevOps Engineer
gcp aws linux cloud security,2,0,5,9.7,Cloud Engineer
vector database langchain prompt engineering transformers llm,4,3,2,7.1,AI Engineer
system design dsa sql oops java dbms,1,2,1,7.9,Software Engineer
sql excel python data visualization tableau power bi statistics,5,1,3,8.3,Data Analyst
system design java dbms dsa sql,5,0,5,6.7,Software Engineer
react nodejs javascript css,3,3,4,9.0,Full Stack Developer
data analysis pandas statistics tensorflow machine learning numpy aws,1,2,3,9.3,Data Scientist
machine learning pandas statistics tensorflow python numpy,4,0,0,6.8,Data Scientist
terraform linux aws azure cloud security,3,0,2,7.2,Cloud Engineer
hibernate rest api spring boot java,5,1,4,8.5,Java Developer
nlp python mlops computer vision tensorflow deep learning pytorch,4,1,2,9.1,ML Engineer
python postgresql fastapi flask django,3,2,4,9.5,Python Developer
mysql java hibernate spring boot,5,1,4,9.5,Java Developer
langchain vector database transformers python spring boot,5,1,3,9.1,AI Engineer
jenkins github actions terraform linux docker,4,3,0,8.7,DevOps Engineer
transformers langchain prompt engineering vector database rag llm python,4,1,5,7.7,AI Engineer
flask python fastapi postgresql django,3,1,3,8.7,Python Developer
flask python fastapi postgresql,3,1,0,7.5,Python Developer
nodejs mongodb html javascript express,5,2,2,7.7,Full Stack Developer
gcp cloud security aws linux terraform azure pandas,5,0,0,6.8,Cloud Engineer
deep learning tensorflow mlops computer vision nlp hibernate,1,0,4,7.8,ML Engineer
tableau python power bi statistics,1,3,5,7.2,Data Analyst
machine learning pandas numpy statistics python oops,2,1,0,9.3,Data Scientist
flask django python postgresql fastapi,3,1,5,7.6,Python Developer
django flask postgresql fastapi python rest api,4,1,0,7.9,Python Developer
jenkins linux kubernetes github actions docker,5,2,3,7.0,DevOps Engineer
statistics data analysis machine learning pandas python,3,0,3,8.2,Data Scientist
deep learning tensorflow nlp python mlops flask,4,0,2,6.6,ML Engineer
deep learning computer vision python mlops rest api,1,2,1,7.8,ML Engineer
pandas statistics data analysis machine learning numpy,3,2,4,6.9,Data Scientist
oops dsa sql java system design dbms,1,1,1,6.8,Software Engineer
python postgresql fastapi flask,5,2,4,9.6,Python Developer
express nodejs react css mongodb html,4,1,5,7.9,Full Stack Developer
mysql hibernate rest api spring boot java,3,2,4,8.4,Java Developer
aws gcp linux azure terraform,1,0,0,7.3,Cloud Engineer
sql power bi excel tableau python data visualization statistics,4,3,0,8.2,Data Analyst
rest api java spring boot mysql hibernate,5,2,2,6.6,Java Developer
java rest api mysql hibernate terraform,5,2,0,8.4,Java Developer
hibernate java rest api mysql docker,3,3,0,7.0,Java Developer
linux cloud security azure gcp terraform,4,2,5,8.1,Cloud Engineer
flask postgresql django fastapi,4,2,5,9.3,Python Developer
vector database prompt engineering langchain llm transformers rag,1,3,3,8.5,AI Engineer
aws terraform cloud security gcp linux azure,3,2,5,8.8,Cloud Engineer
dsa java sql oops system design,4,2,2,7.1,Software Engineer
statistics excel tableau python data visualization,1,3,0,6.8,Data Analyst
hibernate mysql spring boot rest api,5,0,3,7.9,Java Developer
docker github actions terraform kubernetes,5,1,0,7.9,DevOps Engineer
gcp terraform aws azure linux cloud security,4,0,4,9.0,Cloud Engineer
python vector database llm rag prompt engineering langchain transformers,3,3,4,6.6,AI Engineer
mlops deep learning computer vision pytorch tensorflow python,4,0,2,8.6,ML Engineer
prompt engineering transformers vector database python rag llm langchain,3,0,3,9.1,AI Engineer
python postgresql flask fastapi django,4,2,4,8.9,Python Developer
fastapi python postgresql flask,1,3,3,7.5,Python Developer
linux kubernetes terraform jenkins github actions,5,3,5,7.9,DevOps Engineer
postgresql django python flask,1,2,2,7.2,Python Developer
mlops nlp computer vision tensorflow deep learning pytorch python,2,2,0,8.2,ML Engineer
computer vision nlp deep learning tensorflow tableau,3,3,3,9.3,ML Engineer
spring boot java mysql hibernate rest api,5,2,2,9.6,Java Developer
rest api hibernate mysql spring boot java,4,3,3,8.1,Java Developer
oops java sql dbms dsa system design,5,3,1,7.7,Software Engineer
tensorflow python deep learning pytorch mlops computer vision,3,2,0,9.5,ML Engineer
langchain prompt engineering transformers python rag llm vector database hibernate,2,0,4,9.5,AI Engineer
cloud security aws gcp terraform azure linux,1,3,3,7.0,Cloud Engineer
jenkins linux docker terraform kubernetes github actions,5,0,0,6.9,DevOps Engineer
css mongodb react javascript nodejs express,3,0,0,8.6,Full Stack Developer
hibernate java spring boot mysql rest api,2,2,3,8.9,Java Developer
llm rag langchain prompt engineering,1,0,5,8.4,AI Engineer
power bi sql tableau python statistics data visualization excel,1,3,5,6.7,Data Analyst
transformers prompt engineering llm vector database rag python langchain,1,2,0,6.7,AI Engineer
linux jenkins terraform docker,1,0,3,9.3,DevOps Engineer
spring boot rest api java hibernate deep learning,5,1,0,9.3,Java Developer
sql oops system design dbms java dsa,4,0,1,7.6,Software Engineer
tableau sql python power bi data visualization statistics,3,2,3,9.5,Data Analyst
langchain python transformers llm excel,2,3,0,9.4,AI Engineer
azure gcp linux terraform aws python,3,2,3,8.6,Cloud Engineer
llm langchain transformers rag prompt engineering python vector database,5,1,2,9.8,AI Engineer
machine learning data analysis pandas numpy,2,3,2,8.0,Data Scientist
data analysis python statistics machine learning pandas,2,0,3,7.7,Data Scientist
langchain vector database rag python,5,0,5,7.6,AI Engineer
system design sql java dsa,3,2,4,7.3,Software Engineer
dbms sql dsa oops java,4,1,5,7.5,Software Engineer
oops dsa sql dbms java,4,2,5,6.7,Software Engineer
python excel data visualization statistics prompt engineering,1,1,0,6.8,Data Analyst
postgresql flask python fastapi,5,0,0,9.6,Python Developer
jenkins docker linux github actions terraform kubernetes transformers,4,0,0,8.6,DevOps Engineer
java oops dsa dbms sql system design llm,4,0,3,8.9,Software Engineer
java oops dbms sql dsa,3,1,0,7.7,Software Engineer
rag vector database transformers llm prompt engineering python docker,1,0,1,9.5,AI Engineer
flask postgresql django fastapi python,2,2,5,7.7,Python Developer
terraform aws gcp azure cloud security,5,2,1,7.8,Cloud Engineer
data visualization statistics excel tableau python,3,2,0,8.5,Data Analyst
spring boot mysql java hibernate rest api,1,2,0,7.4,Java Developer
docker jenkins linux terraform kubernetes,3,0,0,7.6,DevOps Engineer
data analysis numpy pandas python tensorflow,4,0,2,9.5,Data Scientist
react css javascript html,3,1,0,6.6,Full Stack Developer
cloud security terraform linux aws,4,3,3,8.1,Cloud Engineer
tensorflow nlp python deep learning,1,3,1,8.6,ML Engineer
java hibernate spring boot rest api,5,1,4,7.1,Java Developer
rest api java spring boot hibernate mysql,1,2,1,6.7,Java Developer
system design sql java dbms,3,3,1,7.8,Software Engineer
jenkins terraform docker github actions kubernetes linux,1,1,5,6.7,DevOps Engineer
python numpy tensorflow data analysis machine learning statistics pandas,5,3,5,6.8,Data Scientist
flask django postgresql fastapi python tableau,2,3,1,9.1,Python Developer
express mongodb css javascript react,2,2,5,8.3,Full Stack Developer
numpy data analysis machine learning python pandas statistics,4,1,2,7.4,Data Scientist
statistics sql data visualization excel power bi,1,2,1,8.3,Data Analyst
mysql rest api hibernate spring boot java,2,0,5,8.6,Java Developer
flask fastapi postgresql python,3,1,5,9.5,Python Developer
tensorflow python computer vision mlops,2,0,3,7.4,ML Engineer
power bi sql data visualization tableau excel django,3,2,3,9.1,Data Analyst
javascript mongodb nodejs react html css express,2,1,2,8.2,Full Stack Developer
python llm langchain rag,4,2,2,7.0,AI Engineer
java sql oops dbms,5,3,4,8.0,Software Engineer
fastapi django postgresql flask,4,3,0,6.7,Python Developer
mysql spring boot java rest api,1,3,5,8.2,Java Developer
mysql java rest api hibernate,2,1,1,8.3,Java Developer
deep learning computer vision pytorch tensorflow transformers,2,0,4,6.8,ML Engineer
java oops dsa dbms sql,1,0,3,7.4,Software Engineer
rag vector database langchain prompt engineering llm transformers,3,0,4,8.7,AI Engineer
pandas data analysis statistics tensorflow python machine learning numpy dsa,3,3,1,7.6,Data Scientist
python pytorch nlp tensorflow,2,3,3,9.4,ML Engineer
data analysis numpy python tensorflow pandas machine learning,5,1,4,6.5,Data Scientist
excel python sql power bi data visualization statistics,5,2,4,6.5,Data Analyst
python rag llm vector database langchain prompt engineering,4,3,0,6.7,AI Engineer
sql data visualization power bi excel,3,3,1,9.0,Data Analyst
system design sql java dsa dbms,3,1,3,8.0,Software Engineer
github actions linux docker kubernetes terraform jenkins,3,0,2,8.6,DevOps Engineer
java dbms dsa oops,1,1,1,8.7,Software Engineer
cloud security linux azure terraform aws gcp,5,3,2,8.1,Cloud Engineer
tensorflow deep learning mlops pytorch,3,0,3,8.1,ML Engineer
dbms oops system design sql dsa java,2,0,4,8.2,Software Engineer
mlops python tensorflow nlp,1,2,1,8.2,ML Engineer
python llm langchain rag transformers cloud security,1,1,3,9.2,AI Engineer
linux aws gcp terraform,4,1,2,6.9,Cloud Engineer
rest api hibernate spring boot mysql java,3,2,5,8.7,Java Developer
spring boot hibernate rest api mysql,3,1,4,6.8,Java Developer
tensorflow pandas numpy data analysis power bi,3,0,4,8.0,Data Scientist
react css html mongodb,1,0,3,9.1,Full Stack Developer
hibernate spring boot mysql rest api,3,3,2,8.7,Java Developer
python rag transformers langchain prompt engineering llm,1,0,2,8.8,AI Engineer
linux terraform kubernetes github actions docker jenkins,5,1,0,6.9,DevOps Engineer
tensorflow pytorch computer vision mlops python,4,3,1,6.8,ML Engineer
statistics python excel sql power bi tableau data visualization,2,0,3,7.8,Data Analyst
oops sql java dsa dbms,2,3,4,7.2,Software Engineer
dsa sql java system design dbms,2,1,3,9.1,Software Engineer
flask django fastapi python postgresql linux,2,2,0,6.5,Python Developer
llm prompt engineering langchain python,2,1,4,6.8,AI Engineer
prompt engineering rag vector database transformers python,5,1,0,8.4,AI Engineer
html nodejs react javascript mongodb,2,2,0,7.8,Full Stack Developer
python mlops pytorch tensorflow,4,2,2,6.9,ML Engineer
gcp azure linux cloud security,1,2,5,8.0,Cloud Engineer
statistics tableau excel data visualization sql python,4,1,3,8.7,Data Analyst
power bi statistics data visualization tableau excel sql,4,0,0,9.5,Data Analyst
fastapi flask django postgresql python,5,3,3,9.4,Python Developer
fastapi flask python postgresql,2,3,5,9.6,Python Developer
azure linux aws terraform,5,0,0,8.2,Cloud Engineer
system design oops sql dsa java dbms,4,0,2,8.1,Software Engineer
system design oops java sql dsa,5,2,0,7.2,Software Engineer
cloud security aws terraform azure linux,4,3,5,9.1,Cloud Engineer
tableau statistics python power bi data visualization,1,2,3,7.6,Data Analyst
java spring boot mysql hibernate rest api,3,2,0,9.7,Java Developer
java sql dsa system design,4,1,5,9.7,Software Engineer
cloud security terraform linux gcp,2,2,0,7.8,Cloud Engineer
kubernetes linux terraform docker github actions jenkins transformers,3,1,4,7.6,DevOps Engineer
transformers python rag llm prompt engineering vector database langchain,2,2,3,7.8,AI Engineer
excel power bi tableau data visualization python sql,5,2,5,8.3,Data Analyst
numpy data analysis tensorflow statistics python machine learning pandas,3,2,0,6.9,Data Scientist
pytorch computer vision tensorflow python mlops nlp,3,2,0,7.2,ML Engineer
terraform jenkins docker linux github actions,4,2,2,7.7,DevOps Engineer
terraform linux kubernetes github actions,5,2,5,9.7,DevOps Engineer
linux gcp terraform cloud security aws,4,0,3,9.0,Cloud Engineer
cloud security azure gcp terraform,2,2,5,8.9,Cloud Engineer
mlops pytorch deep learning python computer vision,5,2,5,8.4,ML Engineer
azure terraform cloud security aws,1,0,3,8.3,Cloud Engineer
rest api spring boot java mysql,5,0,2,8.5,Java Developer
tensorflow deep learning mlops nlp python computer vision pytorch,4,3,0,8.0,ML Engineer
power bi tableau python data visualization sql statistics excel express,5,0,4,7.8,Data Analyst
postgresql django fastapi python java,5,1,1,7.2,Python Developer
rest api spring boot hibernate java mysql,2,0,0,8.2,Java Developer
statistics data visualization python power bi sql excel tableau system design,5,3,0,7.6,Data Analyst
css mongodb javascript react html,1,0,3,7.5,Full Stack Developer
spring boot mysql java rest api,5,2,1,9.8,Java Developer
cloud security azure aws gcp terraform,3,1,3,7.4,Cloud Engineer
computer vision pytorch tensorflow python mlops,2,3,0,9.1,ML Engineer
nodejs html express javascript,2,1,0,7.9,Full Stack Developer
vector database prompt engineering python llm rag transformers,1,3,3,7.2,AI Engineer
docker jenkins kubernetes terraform,5,1,1,6.8,DevOps Engineer
spring boot java hibernate mysql django,5,2,2,8.3,Java Developer
docker jenkins linux kubernetes github actions terraform,4,0,2,8.5,DevOps Engineer
express javascript nodejs html deep learning,2,1,4,9.3,Full Stack Developer
sql java system design oops dbms dsa,4,1,1,7.2,Software Engineer
gcp azure linux aws terraform cloud security,4,3,0,7.3,Cloud Engineer
pandas machine learning data analysis numpy tensorflow statistics,4,0,0,7.2,Data Scientist
prompt engineering vector database transformers langchain llm rag,2,1,0,7.0,AI Engineer
terraform github actions jenkins kubernetes linux docker,3,3,5,7.2,DevOps Engineer
tensorflow machine learning python numpy data analysis,1,0,1,8.1,Data Scientist
power bi tableau python excel,2,0,4,9.1,Data Analyst
jenkins kubernetes docker github actions,2,3,3,9.3,DevOps Engineer
pytorch python computer vision mlops,3,3,2,8.6,ML Engineer
gcp cloud security aws linux,5,0,5,7.0,Cloud Engineer
fastapi django postgresql flask python,2,0,3,9.4,Python Developer
data analysis machine learning numpy tensorflow pandas statistics python,3,3,4,6.9,Data Scientist
tableau statistics excel sql,3,2,3,7.4,Data Analyst
transformers langchain rag prompt engineering,5,0,1,8.6,AI Engineer
hibernate java spring boot rest api,2,0,5,7.3,Java Developer
flask django python postgresql fastapi,1,3,5,7.9,Python Developer
computer vision pytorch deep learning python nlp tensorflow mlops prompt engineering,2,0,5,9.3,ML Engineer
docker linux terraform jenkins mongodb,1,1,2,8.6,DevOps Engineer
terraform linux gcp azure aws,3,3,0,9.3,Cloud Engineer
vector database rag transformers prompt engineering llm langchain python,5,3,5,7.6,AI Engineer
gcp linux azure aws terraform cloud security,3,0,3,9.2,Cloud Engineer
transformers rag langchain prompt engineering python vector database llm,3,0,4,9.0,AI Engineer
terraform kubernetes github actions linux docker,1,0,5,7.3,DevOps Engineer
postgresql django fastapi flask python,5,2,0,7.7,Python Developer
rest api hibernate spring boot mysql,4,0,4,8.9,Java Developer
javascript html react css mongodb express,1,1,2,9.1,Full Stack Developer
nodejs express mongodb javascript,1,0,0,9.4,Full Stack Developer
docker linux kubernetes github actions,4,2,2,9.4,DevOps Engineer
fastapi django flask postgresql,3,0,1,7.8,Python Developer
aws cloud security azure terraform gcp prompt engineering,3,0,3,8.5,Cloud Engineer
dsa dbms java sql,2,0,5,9.7,Software Engineer
github actions kubernetes docker terraform linux,2,0,3,9.3,DevOps Engineer
power bi statistics python tableau excel data visualization pytorch,1,3,2,9.4,Data Analyst
dbms oops sql dsa java system design,1,1,3,9.8,Software Engineer
rest api spring boot mysql hibernate,2,3,3,7.7,Java Developer
oops sql java dbms dsa system design transformers,5,3,1,7.1,Software Engineer
linux kubernetes github actions terraform,2,1,0,7.4,DevOps Engineer
sql dsa system design java oops,1,0,2,9.2,Software Engineer
oops java dsa sql dbms system design,1,2,3,9.5,Software Engineer
power bi sql excel tableau data visualization,3,3,3,7.7,Data Analyst
cloud security terraform azure gcp aws,2,3,5,6.8,Cloud Engineer
kubernetes linux jenkins terraform docker,5,1,5,9.7,DevOps Engineer
mlops computer vision nlp pytorch tensorflow python,5,3,5,7.1,ML Engineer
java mysql hibernate rest api,4,1,1,7.8,Java Developer
fastapi postgresql flask python,2,0,1,8.4,Python Developer
linux terraform github actions docker kubernetes,5,2,5,9.7,DevOps Engineer
power bi data visualization tableau statistics excel,2,0,3,7.9,Data Analyst
css javascript react express terraform,3,3,4,8.4,Full Stack Developer
react mongodb express nodejs javascript css sql,4,2,2,6.7,Full Stack Developer
python nlp mlops deep learning,3,1,3,9.8,ML Engineer
jenkins kubernetes terraform github actions,5,1,0,8.1,DevOps Engineer
rest api hibernate spring boot mysql,4,1,1,7.0,Java Developer
data visualization power bi statistics excel sql python,2,2,1,7.9,Data Analyst
python power bi sql excel statistics,3,1,5,8.1,Data Analyst
python computer vision tensorflow deep learning pytorch nlp mlops,1,0,5,6.6,ML Engineer
gcp terraform cloud security azure linux aws,4,3,1,7.4,Cloud Engineer
data analysis numpy python tensorflow statistics,3,2,3,6.6,Data Scientist
linux terraform gcp cloud security,5,1,3,9.0,Cloud Engineer
rest api spring boot mysql java,5,2,1,7.2,Java Developer
linux aws terraform azure gcp cloud security,1,0,2,8.2,Cloud Engineer
statistics power bi data visualization sql excel python tableau,1,2,4,9.4,Data Analyst
mysql rest api spring boot java,2,0,0,7.2,Java Developer
terraform cloud security gcp linux,3,1,3,6.6,Cloud Engineer
spring boot java mysql hibernate,4,2,1,7.3,Java Developer
python pytorch deep learning computer vision tensorflow nlp mlops,4,1,5,9.3,ML Engineer
pandas statistics python tensorflow,1,2,0,7.5,Data Scientist
postgresql python django flask fastapi,3,1,1,8.0,Python Developer
sql system design dbms dsa java,4,2,4,9.3,Software Engineer
jenkins github actions terraform kubernetes linux,1,0,3,7.6,DevOps Engineer
oops java dbms dsa sql,5,0,4,7.5,Software Engineer
mongodb express javascript nodejs,1,2,1,8.4,Full Stack Developer
linux aws azure cloud security,3,1,2,9.3,Cloud Engineer
prompt engineering python llm vector database langchain transformers rag,5,2,4,7.8,AI Engineer
tensorflow machine learning statistics data analysis numpy python pandas,4,3,1,7.6,Data Scientist
jenkins terraform github actions linux docker kubernetes,4,1,4,8.0,DevOps Engineer
machine learning statistics pandas python tensorflow numpy data analysis,4,3,5,6.8,Data Scientist
docker github actions kubernetes jenkins,3,3,3,6.5,DevOps Engineer
postgresql python fastapi flask jenkins,2,3,2,8.1,Python Developer
html mongodb nodejs react css javascript express,5,1,5,8.1,Full Stack Developer
python excel sql power bi deep learning,4,0,0,7.6,Data Analyst
nlp python deep learning pytorch mlops computer vision,4,1,2,7.1,ML Engineer
rag transformers langchain prompt engineering python vector database llm,4,2,4,8.8,AI Engineer
linux terraform cloud security aws gcp azure,5,1,2,9.2,Cloud Engineer
aws cloud security terraform gcp azure linux,4,0,5,9.3,Cloud Engineer
pytorch deep learning mlops tensorflow python nlp computer vision,1,3,2,8.6,ML Engineer
docker terraform jenkins kubernetes,1,2,1,7.8,DevOps Engineer
dbms sql java oops,4,1,4,8.7,Software Engineer
nlp pytorch tensorflow deep learning python,1,3,4,8.9,ML Engineer
azure linux gcp aws terraform,4,2,3,8.9,Cloud Engineer
hibernate rest api spring boot mysql java,5,3,3,8.2,Java Developer
data visualization excel power bi tableau sql,3,1,5,7.7,Data Analyst
